Product_ID,Product_Name,Category,Subcategory,Brand,Price,Cost,Discount,Stock_Quantity,Product_Rating
PROD0001,Noise Fit Watch 400,Electronics,Smartwatches,Noise,24590.0,17540.65,0.0,31.0,4.0
PROD0002,Samsung Pulse Smartwatch Plus,Electronics,Smartwatches,Samsung,12360.0,10261.51,8.9,65.0,3.5
PROD0003,Dell Note 100,Electronics,Smartphones,Dell,63870.0,36084.07,0.0,79.0,3.8
PROD0004,boAt Galaxy 200,Electronics,Smartphones,boAt,54470.0,42952.06,3.7,31.0,2.5
PROD0005,Noise Over-Ear Headphone 100,Electronics,Headphones,Noise,12290.0,9288.8,10.5,19.0,4.5
PROD0006,"Mi 4K UHD TV 200""",Electronics,Televisions,Mi,47380.0,26254.82,0.0,27.0,3.1
PROD0007,"LG Smart LED TV Pro""",Electronics,Televisions,LG,63590.0,49107.97,7.5,163.0,4.1
PROD0008,Mi Pulse Smartwatch 400,Electronics,Smartwatches,Mi,18130.0,12378.73,11.1,119.0,3.2
PROD0009,HP Over-Ear Headphone Lite,Electronics,Headphones,HP,2890.0,1763.86,7.9,160.0,3.8
PROD0010,Noise Pavilion S2,Electronics,Laptops,Noise,82510.0,48645.33,9.3,49.0,3.5
PROD0011,Mi Over-Ear Headphone Max,Electronics,Headphones,Mi,5690.0,4432.05,0.0,25.0,3.2
PROD0012,Noise Pulse Smartwatch Max,Electronics,Smartwatches,Noise,14410.0,10198.38,7.5,29.0,4.4
PROD0013,HP Pulse Smartwatch S2,Electronics,Smartwatches,HP,3820.0,2626.51,15.9,126.0,2.8
PROD0014,Dell Inspiron X1,Electronics,Laptops,Dell,292677.21,217994.55,19.5,49.0,3.9
PROD0015,"Sony 4K UHD TV 100""",Electronics,Televisions,Sony,84070.0,55736.14,13.2,102.0,3.5
PROD0016,Dell Pulse Smartwatch 200,Electronics,Smartwatches,Dell,8580.65,6391.12,5.5,85.0,2.9
PROD0017,Samsung Fit Watch X1,Electronics,Smartwatches,Samsung,11120.0,9122.49,9.2,24.0,3.4
PROD0018,Mi Inspiron Plus,Electronics,Laptops,Mi,110010.0,73389.38,5.4,85.0,3.8
PROD0019,"HP 4K UHD TV S2""",Electronics,Televisions,HP,64610.0,53535.72,0.0,32.0,5.0
PROD0020,"Samsung 4K UHD TV S2""",Electronics,Televisions,Samsung,58070.0,35943.27,13.9,158.0,2.9
PROD0021,Mi Fit Watch Plus,Electronics,Smartwatches,Mi,21690.0,16891.5,0.0,73.0,3.2
PROD0022,JBL Pulse Smartwatch 300,Electronics,Smartwatches,JBL,18610.0,11843.13,8.6,70.0,4.1
PROD0023,HP Pulse Smartwatch Max,Electronics,Smartwatches,HP,30193.87,22489.28,2.7,39.0,3.0
PROD0024,Mi Wireless Earbuds Plus,Electronics,Headphones,Mi,10580.0,8224.82,18.2,179.0,3.5
PROD0025,Sony Inspiron 500,Electronics,Laptops,Sony,34730.0,23592.62,10.4,40.0,2.3
PROD0026,Sony Over-Ear Headphone 200,Electronics,Headphones,Sony,4700.0,3584.53,13.0,108.0,4.1
PROD0027,Dell Wireless Earbuds 500,Electronics,Headphones,Dell,9980.0,6602.6,11.7,34.0,3.6
PROD0028,JBL Pulse Smartwatch X1,Electronics,Smartwatches,JBL,11120.0,6486.33,6.5,81.0,3.3
PROD0029,"OnePlus Smart LED TV Max""",Electronics,Televisions,OnePlus,46410.0,37220.35,8.5,94.0,3.3
PROD0030,Samsung Over-Ear Headphone 400,Electronics,Headphones,Samsung,11130.0,7065.56,14.6,82.0,3.6
PROD0031,Levi's Slim Jeans Plus,Clothing,Jeans,Levi's,3170.0,1752.38,12.1,34.0,4.1
PROD0032,H&M Slim Fit Shirt S2,Clothing,Men's Shirts,H&M,2820.0,2197.25,11.9,71.0,4.0
PROD0033,Van Heusen Graphic Tee Lite,Clothing,T-Shirts,Van Heusen,1340.0,789.64,15.6,84.0,3.8
PROD0034,Puma Floral Dress S2,Clothing,Women's Dresses,Puma,2530.0,1953.49,19.0,15.0,2.9
PROD0035,Levi's Cotton T-Shirt 500,Clothing,T-Shirts,Levi's,1400.0,969.79,0.1,49.0,5.0
PROD0036,Puma Floral Dress Max,Clothing,Women's Dresses,Puma,4230.0,3398.27,16.5,59.0,3.5
PROD0037,Levi's Slim Fit Shirt Plus,Clothing,Men's Shirts,Levi's,2580.0,1624.31,6.5,100.0,4.2
PROD0038,Peter England Saree X1,Clothing,Ethnic Wear,Peter England,2550.0,1987.14,0.0,41.0,3.9
PROD0039,H&M Graphic Tee Lite,Clothing,T-Shirts,H&M,310.0,219.63,0.0,52.0,3.2
PROD0040,Peter England Straight Fit Jeans Plus,Clothing,Jeans,Peter England,2000.0,1272.59,7.1,85.0,4.6
PROD0041,Peter England A-Line Dress Pro,Clothing,Women's Dresses,Peter England,2050.0,1172.27,8.4,21.0,2.2
PROD0042,Van Heusen Kurta Set 500,Clothing,Ethnic Wear,Van Heusen,1700.0,991.6,3.4,58.0,2.6
PROD0043,Allen Solly Slim Fit Shirt Plus,Clothing,Men's Shirts,Allen Solly,2900.0,1602.13,2.4,37.0,5.0
PROD0044,Van Heusen Slim Jeans 500,Clothing,Jeans,Van Heusen,3150.0,1744.54,8.1,101.0,3.8
PROD0045,Zara Floral Dress Max,Clothing,Women's Dresses,Zara,2230.0,1588.69,13.6,72.0,3.7
PROD0046,Van Heusen Kurta Set 500 (2),Clothing,Ethnic Wear,Van Heusen,1420.0,854.26,0.0,57.0,3.5
PROD0047,Peter England Graphic Tee Lite,Clothing,T-Shirts,Peter England,980.0,553.82,11.8,84.0,3.8
PROD0048,Levi's Formal Shirt 400,Clothing,Men's Shirts,Levi's,1620.0,1139.73,9.5,63.0,3.1
PROD0049,Van Heusen Formal Shirt S2,Clothing,Men's Shirts,Van Heusen,1660.0,1253.98,11.2,58.0,3.5
PROD0050,Van Heusen Saree 300,Clothing,Ethnic Wear,Van Heusen,4680.0,3892.85,11.7,101.0,3.5
PROD0051,Nike Graphic Tee 500,Clothing,T-Shirts,Nike,1350.0,891.3,11.7,86.0,4.1
PROD0052,Levi's Graphic Tee X1,Clothing,T-Shirts,Levi's,1470.0,1088.26,1.6,57.0,4.2
PROD0053,Zara A-Line Dress 200,Clothing,Women's Dresses,Zara,3220.0,2134.51,11.7,40.0,3.9
PROD0054,Levi's Formal Shirt 200,Clothing,Men's Shirts,Levi's,2830.0,1909.39,5.0,85.0,5.0
PROD0055,H&M Slim Jeans X1,Clothing,Jeans,H&M,2310.0,1559.57,12.4,100.0,2.7
PROD0056,Peter England Straight Fit Jeans S2,Clothing,Jeans,Peter England,2070.0,1293.78,7.8,99.0,3.8
PROD0057,Allen Solly Cotton T-Shirt 100,Clothing,T-Shirts,Allen Solly,870.0,497.34,11.0,80.0,3.6
PROD0058,Nike Floral Dress 500,Clothing,Women's Dresses,Nike,2870.0,2204.5,12.1,101.0,3.5
PROD0059,Cello Table Lamp Plus,Home & Kitchen,Home Decor,Cello,2590.0,1583.78,0.0,44.0,4.1
PROD0060,Pigeon Wall Clock 100,Home & Kitchen,Home Decor,Pigeon,820.0,558.26,11.6,63.0,2.8
PROD0061,Borosil Electric Kettle 500,Home & Kitchen,Small Appliances,Borosil,5210.0,4404.8,12.7,14.0,3.8
PROD0062,Philips Wall Clock Max,Home & Kitchen,Home Decor,Philips,3060.0,1760.04,7.1,110.0,3.8
PROD0063,Philips Storage Container Set 300,Home & Kitchen,Storage & Containers,Philips,490.0,354.5,1.1,48.0,4.1
PROD0064,Milton Pressure Cooker MaxL,Home & Kitchen,Cookware,Milton,3370.0,2765.88,16.2,20.0,4.1
PROD0065,Borosil Electric Kettle X1,Home & Kitchen,Small Appliances,Borosil,5430.0,4197.79,6.0,48.0,2.3
PROD0066,Cello Table Lamp 300,Home & Kitchen,Home Decor,Cello,2910.0,1807.02,2.9,52.0,4.1
PROD0067,Bajaj Wall Clock 300,Home & Kitchen,Home Decor,Bajaj,3200.0,2458.38,1.2,34.0,4.8
PROD0068,Cello Storage Container Set Lite,Home & Kitchen,Storage & Containers,Cello,330.0,210.35,0.0,39.0,2.4
PROD0069,Borosil Pressure Cooker 100L,Home & Kitchen,Cookware,Borosil,410.0,226.44,15.3,101.0,2.6
PROD0070,Pigeon Storage Container Set 400,Home & Kitchen,Storage & Containers,Pigeon,1330.0,1031.87,15.5,82.0,3.0
PROD0071,Cello Non-Stick Pan 300,Home & Kitchen,Cookware,Cello,4550.0,3708.68,0.0,80.0,3.4
PROD0072,Milton Lunch Box Pro,Home & Kitchen,Storage & Containers,Milton,1660.0,1360.86,12.2,52.0,4.3
PROD0073,Bajaj Mixer Grinder Max,Home & Kitchen,Small Appliances,Bajaj,6500.0,4754.92,13.0,95.0,3.8
