Product_ID,Product_Name,Price,Cost,Discount,Stock_Quantity,Product_Rating,Category_Beauty,Category_Books,Category_Clothing,Category_Electronics,Category_Grocery,Category_Home & Kitchen,Category_Sports,Category_Toys,Brand_Adidas,Brand_Allen Solly,Brand_American Tourister,Brand_Amul,Brand_Bajaj,Brand_Bloomsbury,Brand_Borosil,Brand_Britannia,Brand_Casio,Brand_Cello,Brand_Cosco,Brand_Decathlon,Brand_Dell,Brand_Fastrack,Brand_Fisher-Price,Brand_Fortune,Brand_H&M,Brand_HP,Brand_Haldiram's,Brand_HarperCollins,Brand_Hasbro,Brand_Himalaya,Brand_Hot Wheels,Brand_JBL,Brand_L'Oreal,Brand_LEGO,Brand_LG,Brand_Lakme,Brand_Levi's,Brand_Mamaearth,Brand_Mattel,Brand_Maybelline,Brand_Mi,Brand_Milton,Brand_Nestle,Brand_Nike,Brand_Nivea,Brand_Nivia,Brand_Noise,Brand_OnePlus,Brand_Penguin,Brand_Peter England,Brand_Philips,Brand_Pigeon,Brand_Puma,Brand_Ray-Ban,Brand_Rupa,Brand_Samsung,Brand_Scholastic,Brand_Sony,Brand_Tata,Brand_The Body Shop,Brand_Titan,Brand_Van Heusen,Brand_Westland,Brand_Wildcraft,Brand_Yonex,Brand_Zara,Brand_boAt,Subcategory_Action Figures,Subcategory_Bags & Backpacks,Subcategory_Beverages,Subcategory_Board Games,Subcategory_Building Blocks,Subcategory_Children's Books,Subcategory_Cookware,Subcategory_Dairy,Subcategory_Ethnic Wear,Subcategory_Fiction,Subcategory_Fitness Equipment,Subcategory_Fragrances,Subcategory_Haircare,Subcategory_Headphones,Subcategory_Home Decor,Subcategory_Jeans,Subcategory_Laptops,Subcategory_Makeup,Subcategory_Men's Shirts,Subcategory_Non-Fiction,Subcategory_Outdoor Sports,Subcategory_Racquet Sports,Subcategory_Remote Control Toys,Subcategory_Skincare,Subcategory_Small Appliances,Subcategory_Smartphones,Subcategory_Smartwatches,Subcategory_Snacks,Subcategory_Sportswear,Subcategory_Staples,Subcategory_Storage & Containers,Subcategory_Sunglasses,Subcategory_T-Shirts,Subcategory_Televisions,Subcategory_Wallets & Belts,Subcategory_Watches,Subcategory_Women's Dresses
PROD0001,Noise Fit Watch 400,24590.0,17540.65,0.0,31.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PROD0002,Samsung Pulse Smartwatch Plus,12360.0,10261.51,8.9,65.0,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PROD0003,Dell Note 100,63870.0,36084.07,0.0,79.0,3.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PROD0004,boAt Galaxy 200,54470.0,42952.06,3.7,31.0,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PROD0005,Noise Over-Ear Headphone 100,12290.0,9288.8,10.5,19.0,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROD0006,"Mi 4K UHD TV 200""",47380.0,26254.82,0.0,27.0,3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PROD0007,"LG Smart LED TV Pro""",63590.0,49107.97,7.5,163.0,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PROD0008,Mi Pulse Smartwatch 400,18130.0,12378.73,11.1,119.0,3.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PROD0009,HP Over-Ear Headphone Lite,2890.0,1763.86,7.9,160.0,3.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROD0010,Noise Pavilion S2,82510.0,48645.33,9.3,49.0,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
